SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI2-LOW=/SPE/CL_INB_ACTION_INFO*
TABLE|WBCROSSGT
TITLE|Data Browser: Table WBCROSSGT Select Entries        137
SBAR|
ALV|rows=137|cols=11
HDR|OTYPE	NAME	INCLUDE	DIRECT	INDIRECT	COMPONENT	ISHASH	UDATE	UZEIT	UNAME	START_FULLNAME_TAG	
ROW67|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	FV50XFLP_LIPS_FUELLEN_MAAPV	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW68|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	LV50LF11	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW69|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	LV50LF14	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW70|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	LV50SF10	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW71|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	LV50SF43	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW72|DA	/SPE/CL_INB_ACTION_INFO\ME:GET_OBJECT\DA:I_NAME	MV50A_TM_FINALIZEF01	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW73|DA	/SPE/CL_INB_ACTION_INFO\ME:SET_INFO\DA:I_ACTION1	LMIGOKD1	X				01.07.2025	00:00:05	BATCH_USER	TY	
ROW74|DA	/SPE/CL_INB_ACTION_INFO\ME:SET_INFO\DA:I_ACTION1	MQEVAF12	X				20.08.2025	00:00:07	BATCH_USER	TY	
ROW75|DA	/SPE/CL_INB_ACTION_INFO\ME:SET_INFO\DA:I_ACTION2	LMIGOKD1	X				01.07.2025	00:00:05	BATCH_USER	TY	
ROW76|DA	/SPE/CL_INB_ACTION_INFO\ME:SET_INFO\DA:I_ACTION2	MQEVAF12	X				20.08.2025	00:00:07	BATCH_USER	TY	
ROW77|DA	/SPE/CL_INB_ACTION_INFO\ME:SET_INFO\DA:I_ACTION3	LMIGOKD1	X				01.07.2025	00:00:05	BATCH_USER	TY	
ROW78|DA	/SPE/CL_INB_ACTION_INFO\ME:SET_INFO\DA:I_ACTION3	MQEVAF12	X				20.08.2025	00:00:07	BATCH_USER	TY	
ROW79|DA	/SPE/CL_INB_ACTION_INFO\ME:SET_INFO\DA:I_DIALOG	LMIGOKD1	X				01.07.2025	00:00:05	BATCH_USER	TY	
ROW80|DA	/SPE/CL_INB_ACTION_INFO\ME:SET_INFO\DA:I_DIALOG	MQEVAF12	X				20.08.2025	00:00:07	BATCH_USER	TY	
ROW81|DA	/SPE/CL_INB_ACTION_INFO\ME:SET_OBJECT\DA:IO_OBJECT	LMIGOKD1	X				01.07.2025	00:00:05	BATCH_USER	TY	
ROW82|DA	/SPE/CL_INB_ACTION_INFO\ME:SET_OBJECT\DA:I_NAME	LMIGOKD1	X				01.07.2025	00:00:05	BATCH_USER	TY	
ROW83|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_API_INFO	LV50LF14	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW84|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_API_INFO	LV50SF0T	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW85|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_API_INFO	MV50AF0T_TVLK_SELECT	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW86|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO	/SPE/V50SF10	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW87|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO	FV50XF0B_BELEG_SICHERN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW88|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO	LMBWLU04	X				20.06.2025	00:00:05	BATCH_USER	TY	
ROW89|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO	LMBWLU14	X				20.06.2025	00:00:05	BATCH_USER	TY	
ROW90|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO	LV50LF17	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW91|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO	LV50SDRE	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW92|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO	LV50SF08	X				20.01.2024	00:00:17	BATCH_USER	TY	
ROW93|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO	MV50AF0B_RETURN_EKES_FUELLEN	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW94|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_INFO	MV50AF0D	X				17.12.2023	00:00:27	BATCH_USER	TY	
ROW95|ME	/SPE/CL_INB_ACTION_INFO\ME:GET_MESSAGES_READ_INDICATOR	MV50AF0B_BELEG_LESEN_BUFFERED	X				17.12.2023	00:00:27	BATCH_USER	TY	
