SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_*OUTB_DELIV*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         56
SBAR|
ALV|rows=56|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW36|CL_GOAL_OUTB_DELIVERY_ITEM====CM001	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	574	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00300000121F9D0269D7DA561A8682E07C4ADEDA0A157D10B468C147C14B511041A4F4126BB4464962A52FFE7A9DDDD39BA7AD3EDA24CB70D29373E9CB6466	
ROW37|CL_GOAL_OUTB_DELIVERY_ITEM====CM002	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	338	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00140000121F9D02BF1D3368691808A2F0FB2939AA10E9C58B4821DA180B4D5B62157A0ADA4651AB2DA608B9F8D7EBB71B6A6C104FA22D591E0C93B7D921F0	
ROW38|CL_GOAL_OUTB_DELIVERY_ITEM====CM003	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	583	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF003E0000121F9D02D6BEF9F4240C0451FC7D146EA251E3C5A326286888A015D4442F0D086223D06A81E8C5AF5EDF6C25A2A00D464CDB9DFCC276E9AE0DC9FC	
ROW39|CL_GOAL_OUTB_DELIVERY_ITEM====CM004	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	206	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF000E0000121F9D0269BF6C561004A228FC3D8A4F106D7A8040B316FD60B596A41F043361446CD3ABD77182A485EDCDE103BD5EC6D99C7BCE284F3CB12460C7	
ROW40|CL_GOAL_OUTB_DELIVERY_ITEM====CM005	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	568	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF002E0000121F9D02B46B352D0D0351707E4A6E6D41A51E042D2A085E0A0A05C18B88A44D6C03695292B4DA8B7FBDCEDB4D49FA917A93A6790C299BECA697D9	
ROW41|CL_GOAL_OUTB_DELIVERY_ITEM====CM006	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	560	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00480000121F9D02B37D6BD969180682F329B97102812A2E4870E2C25754A1491FA82F9AB6880BBF5E666DA224A586DE20F66894C476EC5E66673DD9263860	
ROW42|CL_GOAL_OUTB_DELIVERY_ITEM====CM007	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	408	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF001C0000121F9D026DCF6A7A120682E8FB29BDF991D478F1620C49855A9A502015359C1A956A50146289492FFE757C3B0D2E568E46819DBC7499CE76274D5E	
ROW43|CL_GOAL_OUTB_DELIVERY_ITEM====CO	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	46	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00020000121F9D0219C37F86028622867C8612865486643099C2A0C0500CE5650265F218F48022A37058420000	
ROW44|CL_GOAL_OUTB_DELIVERY_ITEM====CP	A		X	D$				K	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	403	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00320000121F9D0269D77C5B1A84C2287E3E8AEC4D10D437E8457F460C8A4154D0AB287524D81475419FDE8E5A780B9B208EED5E0F3FAEF74EC50D9EE73C7F	
ROW45|CL_GOAL_OUTB_DELIVERY_ITEM====CT	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	219		S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00060000121F9D02B39D6A5941180682F329E245F0E03FF82852500AA28227A9496A0B1AA50FA45FAFB39B430FE2D91ECA90CD76769B1C662778638A31D708	
ROW46|CL_GOAL_OUTB_DELIVERY_ITEM====CU	A			D$				I	S		SAP	06.06.2015	000001			001		SAP	06.06.2015	15:14:09	542	X	S	X		06.06.2015	151409	06.06.2015	151409	D$S	X	0	FF00400000121F9D02B46F6E3B09034118FE1F8507303E80892696426D044A008D5C357246811AA917DCF8EAF8EFD600722AA937EDEEE44BE976B6878B997F76	
ROW47|CL_SHP_OUTB_DELIV_BULK_CRT_RQ=CCDEF	A			D$				I	S		SAP	10.03.2010	000002			000	E	SAP	08.09.2011	17:07:19	187	X	S	X		08.09.2011	170719	08.09.2011	170719	D$S	X	0	FF00080000121F9D02D24E19AC200C0341743E257852F1A7425A31A04969AA90AFAFB3DBCA9EA4C78A8461E96666D31EDE52CC38E3C07278A2A0E773C20D91BD	
ROW48|CL_SHP_OUTB_DELIV_BULK_CRT_RQ=CCIMP	A			D$				I	S		SAP	10.03.2010	000002			000	E	SAP	08.09.2011	17:07:19	174	X	S	X		08.09.2011	170719	08.09.2011	170719	D$S	X	0	FF00080000121F9D02699F5A56188481E07CCAD263E94F85A85488A698F4D0AFB7B39B163D08B9B5B4846192711F22CC8815679C48C11D093DEF8C2B466A2123	
ROW49|CL_SHP_OUTB_DELIV_BULK_CRT_RQ=CCMAC	A			D$				I	S		SAP	10.03.2010	000002			000	E	SAP	08.09.2011	17:07:20	144	X	S	X		08.09.2011	170720	08.09.2011	170720	D$S	X	0	FF00060000121F9D02B33D325841208681E87C4AF0E85F956E45C136E2D6C37EFDFA5AC5BD085E1729C390C934490FA355471DA0E9A159895A75D6056DD071EF	
ROW50|CL_SHP_OUTB_DELIV_BULK_CRT_RQ=CI	A			D$				I	S		SAP	10.03.2010	000002			000	E	SAP	08.09.2011	17:07:19	184	X	S	X		08.09.2011	170719	08.09.2011	170719	D$S	X	0	FF00060000121F9D02DE4EB9A4200C8341F83B4A74E9C243B40A8A05DF6E8BD4160B7D485ABD7E9DC4850B11770A52862493991F5A9821745CB0E4DC38D29262	
ROW51|CL_SHP_OUTB_DELIV_BULK_CRT_RQ=CM001	A			D$				I	S		SAP	10.03.2010	000001			000	E	SAP	08.09.2011	17:07:19	2,317	X	S	X		08.09.2011	170719	08.09.2011	170719	D$S	X	0	FF00E00000121F9D02D2BEB535B56D44E1F353FC5692D6693369FBD081BC10A6CD03D3B474DA478F9005A83558910C813EF4AFD373D17A57D6CA92C13696F7CC	
ROW52|CL_SHP_OUTB_DELIV_BULK_CRT_RQ=CO	A			D$				I	S		SAP	10.03.2010	000002			000	E	SAP	08.09.2011	17:07:19	183	X	S	X		08.09.2011	170719	08.09.2011	170719	D$S	X	0	FF00060000121F9D02B39DB24941188682F07794E8D285876815140BFEBB2DD2A628D456623D7F9D44C18DE24E41CA9064DE4C208137092D671C350D962CCC39	
ROW53|CL_SHP_OUTB_DELIV_BULK_CRT_RQ=CP	A		X	D$				K	S		SAP	10.03.2010	000002		P	000	E	SAP	08.09.2011	17:07:19	406	X	S	X		08.09.2011	170719	08.09.2011	170719	D$S	X	0	FF00320000121F9D0269D76C561B04A2287C1E25645328B46FD04DD2424B03FDEF36B46AA860A31853E8D3DBA3B6382D362E5492190F1F334E6218847BCFFD19	
ROW54|CL_SHP_OUTB_DELIV_BULK_CRT_RQ=CT	A			D$				I	S		SAP	10.03.2010	000002			000	E	SAP	08.09.2011	17:07:19	221		S	X		08.09.2011	170719	08.09.2011	170719	D$S	X	0	FF00060000121F9D02DA4EB5AC200C03C1F914F12278F0235A05C5826FAFA5A6A92D68943E907EBDCE6E0E3D88677B284336DB9D6D5A989DE08D29C65C23A468	
ROW55|CL_SHP_OUTB_DELIV_BULK_CRT_RQ=CU	A			D$				I	S		SAP	10.03.2010	000002			000	E	SAP	08.09.2011	17:07:19	303	X	S	X		08.09.2011	170719	08.09.2011	170719	D$S	X	0	FF00140000121F9D02D27ED9ED24100361F47B94EAA5173E044822916451D4E815D1B28B2448092CCF5F4F5B84641342624CF86B4E5A663B5BF6623A5F67E465	
