MANDT	FKNUM	VBTYP	FKART	STERM	PRSDT	BUDAT	EXTI1	EXTI2	STBER	STFRE	STABR	ERNAM	ERDAT	ERZET	AENAM	AEDAT	AEZET
700	1600699033	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:28:43			00:00:00
700	1600699034	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:33:12			00:00:00
700	1600699035	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	02:35:58			00:00:00
700	1600699036	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:39:28			00:00:00
700	1600699037	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:39:28			00:00:00
700	1600699038	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:42:02			00:00:00
700	1600699039	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:43:07			00:00:00
700	1600699040	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	02:43:07			00:00:00
700	1600699041	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:43:08			00:00:00
700	1600699042	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:43:10			00:00:00
700	1600699043	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	02:46:44			00:00:00
700	1600699044	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:50:27			00:00:00
700	1600699045	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	02:50:28			00:00:00
700	1600699046	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:53:57			00:00:00
700	1600699048	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	02:57:32			00:00:00
700	1600699049	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:01:12			00:00:00
700	1600699050	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:01:13			00:00:00
700	1600699051	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	03:04:38			00:00:00
700	1600699053	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:05:57			00:00:00
700	1600699054	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	03:07:57			00:00:00
700	1600699055	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	03:07:58			00:00:00
700	1600699056	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:13:27			00:00:00
700	1600699057	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:14:43			00:00:00
700	1600699058	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:18:17			00:00:00
700	1600699059	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	03:18:19			00:00:00
700	1600699060	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	03:21:44			00:00:00
700	1600699061	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:25:18			00:00:00
700	1600699062	a	Z006		24.03.2026				C			SCLADMIN	31.03.2026	03:25:18			00:00:00
700	1600699063	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:27:42			00:00:00
700	1600699064	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:28:38			00:00:00
700	1600699065	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:31:58			00:00:00
700	1600699066	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	03:35:23			00:00:00
700	1600699067	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:35:23			00:00:00
700	1600699068	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:35:25			00:00:00
700	1600699069	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:38:52			00:00:00
700	1600699070	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	03:42:17			00:00:00
700	1600699071	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:42:19			00:00:00
700	1600699072	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:45:37			00:00:00
700	1600699073	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:49:13			00:00:00
700	1600699074	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:49:13			00:00:00
700	1600699075	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:59:22			00:00:00
700	1600699076	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	03:59:27			00:00:00
700	1600699077	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	03:59:28			00:00:00
700	1600699078	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:02:02			00:00:00
700	1600699079	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:02:57			00:00:00
700	1600699080	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:03:00			00:00:00
700	1600699081	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:03:52			00:00:00
700	1600699082	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	04:06:22			00:00:00
700	1600699083	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:09:48			00:00:00
700	1600699084	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	04:09:49			00:00:00
700	1600699085	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:10:52			00:00:00
700	1600699086	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:13:09			00:00:00
700	1600699087	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:14:52			00:00:00
700	1600699088	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	04:16:27			00:00:00
700	1600699089	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	04:16:28			00:00:00
700	1600699090	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:16:29			00:00:00
700	1600699091	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	04:19:53			00:00:00
700	1600699092	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:19:54			00:00:00
700	1600699093	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	04:23:17			00:00:00
700	1600699094	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	04:23:17			00:00:00
700	1600699095	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	04:23:18			00:00:00
700	1600699096	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:26:33			00:00:00
700	1600699097	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:29:50			00:00:00
700	1600699098	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:29:50			00:00:00
700	1600699099	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:33:07			00:00:00
700	1600699101	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	04:33:08			00:00:00
700	1600699102	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:33:09			00:00:00
700	1600699103	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:33:10			00:00:00
700	1600699104	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:35:02			00:00:00
700	1600699106	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:36:41			00:00:00
700	1600699107	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:39:55			00:00:00
700	1600699108	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:39:57			00:00:00
700	1600699109	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	04:39:59			00:00:00
700	1600699110	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:40:00			00:00:00
700	1600699111	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:42:37			00:00:00
700	1600699112	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	04:43:12			00:00:00
700	1600699113	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:43:13			00:00:00
700	1600699114	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	04:43:14			00:00:00
700	1600699115	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:43:15			00:00:00
700	1600699116	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:43:16			00:00:00
700	1600699117	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	04:46:37			00:00:00
700	1600699118	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:46:37			00:00:00
700	1600699119	a	Z006		26.03.2026				C			SCLADMIN	31.03.2026	04:46:38			00:00:00
700	1600699120	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:50:03			00:00:00
700	1600699121	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	04:53:29			00:00:00
700	1600699122	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	04:53:31			00:00:00
700	1600699123	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	04:53:32			00:00:00
700	1600699124	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	04:53:35			00:00:00
700	1600699125	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	04:56:53			00:00:00
700	1600699126	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	04:56:53			00:00:00
700	1600699128	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:00:14			00:00:00
700	1600699129	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:03:37			00:00:00
700	1600699130	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:03:39			00:00:00
700	1600699131	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:07:02			00:00:00
700	1600699132	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:07:02			00:00:00
700	1600699133	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	05:07:04			00:00:00
700	1600699134	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:09:07			00:00:00
700	1600699135	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	05:10:27			00:00:00
700	1600699136	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:10:28			00:00:00
700	1600699137	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	05:10:29			00:00:00
700	1600699138	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:10:29			00:00:00
700	1600699139	a	Z006		24.03.2026				C			SCLADMIN	31.03.2026	05:13:52			00:00:00
700	1600699140	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	05:13:52			00:00:00
700	1600699141	a	Z006		24.03.2026				C			SCLADMIN	31.03.2026	05:13:53			00:00:00
700	1600699142	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:13:57			00:00:00
700	1600699143	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:15:02			00:00:00
700	1600699144	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:17:12			00:00:00
700	1600699145	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:17:13			00:00:00
700	1600699146	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:20:47			00:00:00
700	1600699147	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:20:48			00:00:00
700	1600699148	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:20:49			00:00:00
700	1600699149	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:20:51			00:00:00
700	1600699150	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	05:20:55			00:00:00
700	1600699151	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:24:02			00:00:00
700	1600699152	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:24:03			00:00:00
700	1600699153	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:24:03			00:00:00
700	1600699154	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:30:37			00:00:00
700	1600699155	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:30:37			00:00:00
700	1600699156	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:30:37			00:00:00
700	1600699157	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	05:30:38			00:00:00
700	1600699158	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:30:39			00:00:00
700	1600699159	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:31:17			00:00:00
700	1600699160	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:33:52			00:00:00
700	1600699161	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:33:53			00:00:00
700	1600699162	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:33:54			00:00:00
700	1600699163	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	05:33:54			00:00:00
700	1600699164	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:37:07			00:00:00
700	1600699165	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	05:37:08			00:00:00
700	1600699166	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:37:09			00:00:00
700	1600699167	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:37:09			00:00:00
700	1600699168	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:40:32			00:00:00
700	1600699169	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:40:33			00:00:00
700	1600699170	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	05:41:06			00:00:00
700	1600699171	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:43:52			00:00:00
700	1600699172	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:43:54			00:00:00
700	1600699173	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:43:55			00:00:00
700	1600699174	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:44:17			00:00:00
700	1600699175	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:45:32			00:00:00
700	1600699176	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:46:37			00:00:00
700	1600699177	a	Z006		28.03.2026				C			SCLADMIN	31.03.2026	05:47:23			00:00:00
700	1600699178	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:47:25			00:00:00
700	1600699179	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:47:27			00:00:00
700	1600699180	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:47:28			00:00:00
700	1600699181	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:47:28			00:00:00
700	1600699182	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:47:29			00:00:00
700	1600699183	a	Z006		25.03.2026				C			SCLADMIN	31.03.2026	05:50:52			00:00:00
700	1600699184	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:50:52			00:00:00
700	1600699186	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:54:17			00:00:00
700	1600699187	a	Z006		31.03.2026				C			SCLADMIN	31.03.2026	05:54:18			00:00:00
700	1600699188	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:54:19			00:00:00
700	1600699189	a	Z006		29.03.2026				C			SCLADMIN	31.03.2026	05:56:32			00:00:00
700	1600699190	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	05:57:39			00:00:00
700	1600699191	a	Z006		30.03.2026				C			SCLADMIN	31.03.2026	06:01:08			00:00:00
700	1600699192	a	Z006		27.03.2026				C			SCLADMIN	31.03.2026	06:04:37			00:00:00
